ATL,35.88930317859701
ORD,30.33233446238958
DFW,26.69277521852613
CLT,21.978193636053078
DEN,21.600184805489217
LAX,21.091663493166642
PHX,17.2679222733742
IAH,16.871896228830416
SFO,16.06601033845756
LGA,16.03654702033231
LAS,15.455245982214578
MSP,14.148559742871969
DTW,14.060813998481171
MCO,13.941772844726978
DCA,13.682619395644556
BOS,13.24827025486254
SEA,12.485923757404292
EWR,12.206737954334594
JFK,12.168338847412091
SLC,10.909819848973955
PHL,10.503291953022247
FLL,10.062333774969886
MIA,9.133236186475305
BWI,8.981050821656085
SAN,8.791065286624262
TPA,7.665708075221283
MDW,7.430162170646749
DAL,7.215945523543878
BNA,7.20210802006834
STL,6.2096123215259835
IAD,6.047748624504733
HOU,5.7962084627578765
SJC,5.774907791788039
AUS,5.772292029452349
PDX,5.643801566591127
RDU,5.531179507111418
MSY,5.3397568360279974
MCI,5.194258083427232
OAK,4.922900004689091
HNL,4.888474369652606
SMF,4.690785363121968
PIT,4.606117509416498
CLE,4.533842761192543
IND,4.4980209926175485
RSW,4.426563026311534
CVG,4.313860787787314
CMH,4.287967241146628
SNA,4.028052658773107
SAT,3.800702631816701
JAX,3.135597617878301
MKE,2.9031032562829053
PBI,2.8442712514260857
BUR,2.791917480324635
BDL,2.7644536427602517
SJU,2.6606193790405843
OGG,2.553568139711371
OMA,2.3759654768915066
MEM,2.2526790572040385
RIC,2.249379970822389
ORF,2.2362585781274245
BUF,2.216169334599547
OKC,2.1966281624303523
TUS,2.0822522927112903
SDF,2.078438026032224
ABQ,2.025339740767853
ANC,2.008054081967442
CHS,1.9724233604586843
ONT,1.9515692337219133
BOI,1.8600945344131201
RNO,1.809790443578922
GRR,1.756755575292138
BHM,1.6536097612335328
TUL,1.6455446539859644
DSM,1.5851530204815323
TYS,1.5710423381594745
PVD,1.5687914571523605
ELP,1.5572488253143861
PSP,1.5552229835736981
KOA,1.4634547179903101
GSO,1.4319509402028856
LGB,1.420141192233035
GSP,1.391589598431492
LIH,1.3873276121853182
SAV,1.352234458852531
SYR,1.3059355313996397
ROC,1.292129949953014
DAY,1.2363843617729258
XNA,1.2238956561416456
LIT,1.2069052993775422
MSN,1.196939444144622
FAT,1.1486836596879602
ALB,1.1199138242167237
GEG,1.10677378814642
ASE,1.076386734779937
HPN,1.063143549056252
PNS,1.0509841357243235
ICT,0.9510299269615458
LEX,0.912080110040924
CHA,0.8887564458429125
PWM,0.8488743701308697
CID,0.8441611677103326
MAF,0.8427007869839448
BTV,0.8357511550871173
COS,0.8328595459634752
HSV,0.8291625563216511
SFB,0.7962627436560138
SRQ,0.7867470078328388
SGF,0.7810851466735762
JAN,0.7660162503071711
CAE,0.7260684324012274
AVL,0.7216390659732742
BTR,0.7174401239526468
MHT,0.711729106376174
FSD,0.6925133125056269
JNU,0.6882953474870631
FWA,0.6786946496842813
BZN,0.6777603915985922
SBN,0.6645794690388578
MYR,0.662619257591392
SBA,0.6514923377885736
ILM,0.6383745545600031
LBB,0.6332074368906637
CAK,0.6318453020135949
PIE,0.6253913284031677
EYW,0.6248736424777857
SHV,0.602460004181442
ITO,0.5959218807849924
MDT,0.5823888882855257
VPS,0.5753521508902204
TLH,0.5719405140546909
EGE,0.5629304824463044
FAI,0.5498761545097532
CHO,0.5477003779163361
ISP,0.5447327775141323
AZA,0.5249178621362964
ECP,0.5248652313326602
CRP,0.5157230375457635
FAR,0.5088603026873512
MOB,0.508422905332017
MLI,0.4982681004396533
AMA,0.4945559212745652
LFT,0.48894533964389386
JAC,0.4847204469136096
SBP,0.4846744538039999
PGD,0.4834003377167435
MFE,0.4782972828521532
ATW,0.45691644008213544
PIA,0.4295993759664591
MRY,0.4279432531862217
GPT,0.4224242006818397
GRB,0.41642700902249313
GNV,0.41520314739974995
MFR,0.4070261076209426
EVV,0.4036879833709056
STT,0.40367028625591983
ABE,0.39743483193022294
AGS,0.39597410348563306
CRW,0.394273626541735
HRL,0.38403858067325913
EUG,0.36526957351938427
RST,0.35864767054408686
KTN,0.35417851889795254
SGU,0.3529509334368872
MGM,0.3440976067080579
ACY,0.34294934151658873
BIS,0.3403030841721054
GJT,0.33402028694764047
FNT,0.3285203772982808
RDM,0.316771136157265
RAP,0.3143353733158215
FAY,0.30755377143770074
BIL,0.3073418312407248
OAJ,0.3052188146286024
DAB,0.30172468344049247
HDN,0.30158795392016696
AEX,0.29898512621983164
LAN,0.2968476097484755
GRK,0.29381477345304025
DRO,0.28034373149941744
AVP,0.2761707275068928
MLU,0.273197709910332
BMI,0.2726128791869688
TVC,0.2691964335736483
MSO,0.2499828148104642
MTJ,0.24823295636161752
MLB,0.24589790246447826
ROA,0.24511041727973992
CMI,0.23862837426050923
TTN,0.23533765480897414
FCA,0.22849990617819507
SUN,0.22634578130438202
LRD,0.22589259063606212
BQN,0.22579541452240953
BLI,0.22506264738345086
CWA,0.2241547192673691
MBS,0.22395111928405453
BGR,0.22341427678151318
BRO,0.22109092212927903
COU,0.22021446713332607
EWN,0.2121537856558681
CLL,0.21082706523032033
DLH,0.21053345476841018
BFL,0.2101227480787855
GUM,0.20797266165596462
TRI,0.2054997250257378
SIT,0.20217224455373925
TOL,0.2005468858027166
ABI,0.1995214927999478
LCH,0.1977281782316056
GFK,0.19697807820184207
FSM,0.1955925342162238
STS,0.1808575401061152
WRG,0.1798999960288368
LSE,0.1778492173053926
PSG,0.17451986090069624
AZO,0.1727896765869458
MOT,0.1678349974004337
SPN,0.1663459218077001
PSC,0.16570481371444745
MHK,0.16298952736751682
SJT,0.15853279375528004
